vertices,edges,Density,Comparisons,Divisions,Additions,Solutions,Time,resposta,peso
1,0,100,8,0,1,0,0.0,[0],58
2,1,100,20,0,2,0,0.0009999275207519531,[0],58
3,3,100,39,0,3,0,0.0010111331939697266,[2],25
4,6,100,68,0,4,0,0.0,[3],32
5,10,100,110,0,5,0,0.00099945068359375,[2],25
6,15,100,168,0,6,0,0.0,"[1, 3]",48
7,21,100,245,0,7,0,0.0,[0],58
8,28,100,344,0,8,0,0.0,[0],58
9,36,100,468,0,9,0,0.001001596450805664,[4],28
10,45,100,620,0,10,0,0.0,"[4, 2]",53
11,55,100,803,0,11,0,0.0,[9],68
12,66,100,1020,0,12,0,0.0,[6],15
13,78,100,1274,0,13,0,0.0010025501251220703,[2],25
14,91,100,1568,0,14,0,0.0010182857513427734,"[8, 13, 3, 2]",84
15,105,100,1905,0,15,0,0.0,[7],85
16,120,100,632,0,8,0,0.0,"[3, 8, 2]",66
17,136,100,668,0,8,0,0.0,[12],70
18,153,100,873,0,9,0,0.0,[4],28
19,171,100,918,0,9,0,0.0,[4],28
20,190,100,1170,0,10,0,0.0020275115966796875,[9],68
21,210,100,1225,0,10,0,0.0010080337524414062,[20],4
22,231,100,1529,0,11,0,0.0009891986846923828,[13],18
23,253,100,1595,0,11,0,0.0009636878967285156,[13],18
24,276,100,1956,0,12,0,0.000985860824584961,"[6, 20]",19
25,300,100,2034,0,12,0,0.0010023117065429688,"[6, 20]",19
26,325,100,2457,0,13,0,0.0009989738464355469,"[8, 13, 2]",52
27,351,100,2548,0,13,0,0.001007080078125,[20],4
28,378,100,3038,0,14,0,0.000997304916381836,"[27, 2]",50
29,406,100,3143,0,14,0,0.0010001659393310547,[5],54
30,435,100,3705,0,15,0,0.00099945068359375,[29],31
31,465,100,3825,0,15,0,0.000990152359008789,[5],54
32,496,100,4464,0,16,0,0.0020034313201904297,[0],58
33,528,100,4600,0,16,0,0.0009894371032714844,"[6, 8]",24
34,561,100,5321,0,17,0,0.002000093460083008,[21],19
35,595,100,5474,0,17,0,0.0020079612731933594,[12],70
36,630,100,6282,0,18,0,0.002994537353515625,[19],95
37,666,100,6453,0,18,0,0.0019860267639160156,[35],35
38,703,100,7353,0,19,0,0.002000093460083008,[15],45
39,741,100,7543,0,19,0,0.0019991397857666016,"[38, 21]",41
40,780,100,8540,0,20,0,0.0030007362365722656,[14],47
41,820,100,8750,0,20,0,0.003000020980834961,[14],47
42,861,100,9849,0,21,0,0.0029976367950439453,[2],25
43,903,100,10080,0,21,0,0.003999948501586914,[41],26
44,946,100,11286,0,22,0,0.003000497817993164,[5],54
45,990,100,11539,0,22,0,0.003985404968261719,[42],29
46,1035,100,12857,0,23,0,0.0030002593994140625,[11],97
47,1081,100,13133,0,23,0,0.004000186920166016,[17],52
48,1128,100,14568,0,24,0,0.0050008296966552734,[33],50
49,1176,100,14868,0,24,0,0.01099085807800293,[19],95
50,1225,100,16425,0,25,0,0.004000425338745117,"[31, 49]",67
51,1275,100,16750,0,25,0,0.003999471664428711,[49],17
52,1326,100,18434,0,26,0,0.0039997100830078125,[35],35
53,1378,100,18785,0,26,0,0.004998207092285156,[26],40
54,1431,100,20601,0,27,0,0.010998010635375977,"[49, 1]",33
55,1485,100,20979,0,27,0,0.005998373031616211,[27],25
56,1540,100,22932,0,28,0,0.005998373031616211,"[21, 6, 48]",55
57,1596,100,23338,0,28,0,0.008000612258911133,"[6, 48]",36
58,1653,100,25433,0,29,0,0.0069997310638427734,[21],19
59,1711,100,25868,0,29,0,0.00700068473815918,"[49, 47]",18
60,1770,100,28110,0,30,0,0.006999969482421875,[4],28
61,1830,100,28575,0,30,0,0.008026599884033203,"[41, 29]",57
62,1891,100,30969,0,31,0,0.023000001907348633,"[6, 27, 61]",65
63,1953,100,31465,0,31,0,0.007998943328857422,"[53, 32]",47
64,2016,100,34016,0,32,0,0.009999275207519531,[8],9
65,2080,100,34544,0,32,0,0.007996797561645508,[8],9
66,2145,100,37257,0,33,0,0.009972095489501953,[36],72
67,2211,100,37818,0,33,0,0.009999752044677734,[62],79
68,2278,100,40698,0,34,0,0.011000871658325195,[5],54
69,2346,100,41293,0,34,0,0.01100015640258789,[38],22
70,2415,100,44345,0,35,0,0.012007474899291992,[53],36
71,2485,100,44975,0,35,0,0.011989593505859375,[46],99
72,2556,100,48204,0,36,0,0.016236066818237305,[2],25
73,2628,100,48870,0,36,0,0.0149993896484375,[14],47
74,2701,100,52281,0,37,0,0.018996238708496094,[58],74
75,2775,100,52984,0,37,0,0.013999700546264648,"[33, 38]",72
76,2850,100,56582,0,38,0,0.013998985290527344,[6],15
77,2926,100,57323,0,38,0,0.024637460708618164,[74],1
78,3003,100,61113,0,39,0,0.01602792739868164,"[77, 72]",35
79,3081,100,61893,0,39,0,0.015639305114746094,"[77, 72]",35
80,3160,100,65880,0,40,0,0.015624761581420898,[21],19
81,3240,100,66700,0,40,0,0.0156252384185791,"[21, 72]",33
82,3321,100,70889,0,41,0,0.031746864318847656,[53],36
83,3403,100,71750,0,41,0,0.015624761581420898,[34],35
84,3486,100,76146,0,42,0,0.015642404556274414,[61],25
85,3570,100,77049,0,42,0,0.016060352325439453,[33],50
86,3655,100,81657,0,43,0,0.015625476837158203,[63],23
87,3741,100,82603,0,43,0,0.01563882827758789,[18],40
88,3828,100,87428,0,44,0,0.015637874603271484,[23],94
89,3916,100,88418,0,44,0,0.01564931869506836,[22],38
90,4005,100,93465,0,45,0,0.0156402587890625,[53],36
91,4095,100,94500,0,45,0,0.031235933303833008,[53],36
92,4186,100,99774,0,46,0,0.03125,[40],86
93,4278,100,100855,0,46,0,0.03165030479431152,[6],15
94,4371,100,106361,0,47,0,0.03126859664916992,"[42, 34]",64
95,4465,100,107489,0,47,0,0.03125596046447754,[61],25
96,4560,100,113232,0,48,0,0.015637636184692383,[22],38
97,4656,100,114408,0,48,0,0.06244850158691406,[75],24
98,4753,100,120393,0,49,0,0.031267642974853516,[22],38
99,4851,100,121618,0,49,0,0.058165788650512695,[80],78
100,4950,100,127850,0,50,0,0.046877145767211914,[17],52
